"gameId","question","truth","response_1","response_2","response_3","response_4","response_5","trial"
"JSje9aRj8KQeaxGDj","chicago",2812,100,1000,2000,2100,NA,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,2178,2102,2123,2109,2178,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,3000,2900,2800,2700,2700,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,50,2000,2400,2000,3500,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,4134,3884,3112,3884,4114,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,20000,2000,2100,8300,8000,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,1300,1800,1500,1700,1600,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,1850,2000,1900,1950,2500,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,1467,1875,NA,28159,28159,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,561,2800,3200,2590,3800,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,1800,1800,1800,1800,2000,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,4000,3500,3200,3200,3200,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,1500,NA,2500,NA,NA,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,2800,2800,2800,2700,2700,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,2300,2300,2300,2300,2300,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,1623,1623,1823,1841,1823,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,2000,2200,2000,2000,2000,"JSje9aRj8KQeaxGDj1"
"JSje9aRj8KQeaxGDj","chicago",2812,2000,2312,3142,2578,2311,"JSje9aRj8KQeaxGDj1"
